ID;correct_resp;first_acc;first_resp;first_rt;trial_type;seq_code;triplet_type;epoch;pred_error;stimulation
401;2;0;1;328;R;2;T;1;0;sham
401;2;1;2;323;P;2;H;1;0;sham
401;1;1;1;318;R;2;L;1;0;sham
401;4;1;4;346;P;2;H;1;0;sham
401;1;1;1;404;R;2;T;1;0;sham
401;3;1;3;412;P;2;H;1;0;sham
401;4;1;4;356;R;2;L;1;0;sham
401;1;1;1;350;P;2;H;1;0;sham
401;1;1;1;296;R;2;L;1;0;sham
401;2;1;2;325;P;2;H;1;0;sham
401;1;0;2;320;R;2;T;1;0;sham
401;4;1;4;352;P;2;H;1;0;sham
401;2;1;2;378;R;2;H;1;0;sham
401;3;0;4;291;P;2;H;1;0;sham
401;3;1;3;291;R;2;L;1;0;sham
401;1;1;1;304;P;2;H;1;0;sham
401;2;1;2;428;R;2;L;1;1;sham
401;2;1;2;307;P;2;H;1;0;sham
401;4;1;4;287;R;2;H;1;1;sham
401;4;1;4;236;P;2;H;1;0;sham
401;2;1;2;316;R;2;L;1;0;sham
401;3;1;3;280;P;2;H;1;0;sham
401;1;1;1;293;R;2;L;1;1;sham
401;1;1;1;290;P;2;H;1;0;sham
401;1;1;1;399;R;2;R;1;0;sham
401;2;1;2;471;P;2;H;1;0;sham
401;3;1;3;316;R;2;L;1;0;sham
401;4;1;4;280;P;2;H;1;0;sham
401;4;1;4;213;R;2;L;1;0;sham
401;3;1;3;437;P;2;H;1;0;sham
401;2;1;2;316;R;2;L;1;0;sham
401;1;1;1;327;P;2;H;1;0;sham
401;3;1;3;530;R;2;L;1;0;sham
401;2;1;2;341;P;2;H;1;0;sham
401;3;1;3;400;R;2;T;1;0;sham
401;4;1;4;280;P;2;H;1;0;sham
401;1;0;2;357;R;2;H;1;0;sham
401;3;1;3;404;P;2;H;1;0;sham
401;4;1;4;412;R;2;L;1;0;sham
401;1;1;1;388;P;2;H;1;0;sham
401;2;1;2;348;R;2;L;1;1;sham
401;2;1;2;343;P;2;H;1;0;sham
401;3;1;3;418;R;2;L;1;0;sham
401;4;0;3;185;P;2;H;1;0;sham
401;4;1;4;208;R;2;L;1;0;sham
401;3;0;2;384;P;2;H;1;0;sham
401;4;1;4;575;R;2;T;1;0;sham
401;1;1;1;400;P;2;H;1;0;sham
401;3;1;3;360;R;2;H;1;0;sham
401;2;1;2;290;P;2;H;1;0;sham
401;2;1;2;303;R;2;L;1;0;sham
401;4;1;4;268;P;2;H;1;0;sham
401;3;0;4;249;R;2;L;1;0;sham
401;3;1;3;272;P;2;H;1;0;sham
401;1;1;1;270;R;2;H;1;1;sham
401;1;1;1;220;P;2;H;1;0;sham
401;1;1;1;284;R;2;R;1;0;sham
401;2;0;1;297;P;2;H;1;0;sham
401;2;1;2;347;R;2;H;1;0;sham
401;4;1;4;325;P;2;H;1;0;sham
401;3;1;3;337;R;2;L;1;1;sham
401;3;1;3;283;P;2;H;1;0;sham
401;1;1;1;297;R;2;H;1;1;sham
401;1;1;1;309;P;2;H;1;0;sham
401;4;1;4;289;R;2;L;1;0;sham
401;2;0;4;447;P;2;H;1;0;sham
401;1;0;2;311;R;2;L;1;0;sham
401;4;0;3;376;P;2;H;1;0;sham
401;2;1;2;422;R;2;H;1;0;sham
401;3;1;3;430;P;2;H;1;0;sham
401;3;1;3;324;R;2;L;1;0;sham
401;1;1;1;1088;P;2;H;1;0;sham
401;2;0;4;170;R;2;L;1;0;sham
401;2;1;2;144;P;2;H;1;0;sham
401;1;0;2;371;R;2;L;1;0;sham
401;4;0;1;165;P;2;H;1;0;sham
401;1;0;2;285;R;2;T;1;0;sham
401;3;1;3;323;P;2;H;1;0;sham
401;4;1;4;362;R;2;L;1;0;sham
401;2;1;2;356;P;2;H;1;0;sham
401;4;1;4;286;R;2;T;1;1;sham
401;4;1;4;251;P;2;H;1;0;sham
401;3;1;3;346;R;2;H;1;1;sham
401;3;1;3;244;P;2;H;1;0;sham
401;1;1;1;290;R;2;H;1;1;sham
401;1;1;1;240;P;2;H;1;0;sham
401;2;1;2;303;R;2;H;1;1;sham
401;2;1;2;219;P;2;H;1;0;sham
401;2;1;2;331;R;2;R;1;0;sham
401;4;1;4;262;P;2;H;1;0;sham
401;3;0;4;180;R;2;L;1;0;sham
401;3;1;3;283;P;2;H;1;0;sham
401;4;1;4;328;R;2;L;1;0;sham
401;1;1;1;387;P;2;H;1;0;sham
401;2;1;2;332;R;2;L;1;1;sham
401;2;1;2;327;P;2;H;1;0;sham
401;4;0;3;242;R;2;H;1;0;sham
401;4;1;4;282;P;2;H;1;0;sham
401;2;1;2;503;R;2;L;1;0;sham
401;3;0;2;171;P;2;H;1;0;sham
401;4;1;4;259;R;2;H;1;0;sham
401;1;1;1;290;P;2;H;1;0;sham
401;4;0;3;319;R;2;T;1;0;sham
401;2;1;2;297;P;2;H;1;0;sham
401;3;0;2;245;R;2;H;1;0;sham
401;4;1;4;289;P;2;H;1;0;sham
401;4;1;4;334;R;2;L;1;0;sham
401;3;0;4;393;P;2;H;1;0;sham
401;4;0;3;184;R;2;T;1;0;sham
401;1;1;1;845;P;2;H;1;0;sham
401;3;0;2;387;R;2;H;1;1;sham
401;2;1;2;318;P;2;H;1;0;sham
401;3;1;3;362;R;2;T;1;0;sham
401;4;1;4;260;P;2;H;1;0;sham
401;2;1;2;322;R;2;L;1;0;sham
401;3;1;3;270;P;2;H;1;0;sham
401;2;0;1;332;R;2;T;1;1;sham
401;1;1;1;321;P;2;H;1;0;sham
401;1;0;2;285;R;2;L;1;1;sham
401;2;1;2;357;P;2;H;1;0;sham
401;3;0;4;303;R;2;L;1;1;sham
401;4;1;4;256;P;2;H;1;0;sham
401;3;0;4;239;R;2;T;1;0;sham
401;3;1;3;275;P;2;H;1;0;sham
401;2;1;2;401;R;2;L;1;0;sham
401;1;1;1;297;P;2;H;1;0;sham
401;4;0;1;214;R;2;H;1;0;sham
401;2;1;2;319;P;2;H;1;0;sham
401;4;0;3;266;R;2;T;1;0;sham
401;4;0;3;301;P;2;H;1;1;sham
401;3;1;3;575;R;2;H;1;1;sham
401;3;1;3;240;P;2;H;1;0;sham
401;2;1;2;303;R;2;L;1;0;sham
401;1;1;1;283;P;2;H;1;0;sham
401;4;1;4;329;R;2;H;1;0;sham
401;2;1;2;404;P;2;H;1;0;sham
401;4;0;3;252;R;2;T;1;0;sham
401;4;1;4;301;P;2;H;1;0;sham
401;1;1;1;298;R;2;L;1;0;sham
401;3;1;3;342;P;2;H;1;0;sham
401;4;0;3;209;R;2;L;1;0;sham
401;1;1;1;360;P;2;H;1;0;sham
401;1;1;1;306;R;2;L;1;0;sham
401;2;1;2;398;P;2;H;1;0;sham
401;1;1;1;438;R;2;T;1;0;sham
401;4;1;4;333;P;2;H;1;0;sham
401;3;1;3;424;R;2;L;1;1;sham
401;3;1;3;351;P;2;H;1;0;sham
401;4;1;4;345;R;2;L;1;0;sham
401;1;1;1;324;P;2;H;1;0;sham
401;4;1;4;383;R;2;T;1;0;sham
401;2;1;2;280;P;2;H;1;0;sham
401;2;1;2;325;R;2;L;1;0;sham
401;4;1;4;273;P;2;H;1;0;sham
401;1;1;1;367;R;2;L;1;0;sham
401;3;0;4;312;P;2;H;1;0;sham
401;3;1;3;761;R;2;T;1;0;sham
401;2;1;2;418;P;2;H;1;0;sham
401;4;1;4;281;R;2;L;1;1;sham
401;4;1;4;294;P;2;H;1;0;sham
401;2;1;2;403;R;2;L;1;0;sham
401;3;1;3;283;P;2;H;1;0;sham
401;1;1;1;280;R;2;L;1;1;sham
401;1;1;1;326;P;2;H;1;0;sham
401;4;0;3;273;R;2;L;1;0;sham
401;2;1;2;389;P;2;H;1;0;sham
401;2;1;2;382;R;2;L;1;0;sham
401;4;1;4;295;P;2;H;1;1;sham
401;4;1;4;211;R;2;H;1;0;sham
401;3;1;3;323;P;2;H;1;1;sham
401;3;1;3;303;R;2;H;1;0;sham
401;1;1;1;283;P;2;H;1;0;sham
401;4;1;4;296;R;2;L;1;0;sham
401;2;1;2;341;P;2;H;1;0;sham
401;1;1;1;352;R;2;L;1;0;sham
401;4;0;2;362;P;2;H;1;0;sham
401;3;1;3;334;R;2;L;1;1;sham
